업종명,인허가일자,업소명,소재지도로명주소,소재지지번주소,영업장면적,건물내부면적,건물외부면적,업소소재지전화,업태명
휴게음식점,2011-04-11,시나브로빈스토리,"서울특별시 강서구 공항대로42길 61 (내발산동,내발산동주택 (지상 1층))",서울특별시 강서구 내발산동 661-26 내발산동주택 (지상 1층) ,38.49,38.49,0,  02-3664-3357,커피숍
휴게음식점,2011-05-04,이디야강서사거리점,"서울특별시 강서구 공항대로 437, 1층 (등촌동, 1동)",서울특별시 강서구 등촌동 654-44 (지상 1층) ,76.04,76.04,0,  02-3664-8665,커피숍
휴게음식점,2011-05-16,씨유 염창동아점,"서울특별시 강서구 양천로 731, 309동 1층 102-1호 (염창동, 동아3차아파트)",서울특별시 강서구 염창동 258-1 외 1필지 동아3차아파트 (지상 1층) 309동 102-1호,3,3,0,  02-2659-4956,커피숍
휴게음식점,2011-06-14,씨유 강서가로공원점,"서울특별시 강서구 가로공원로 216, 1층 (화곡동, 1동 씨유마트내)",서울특별시 강서구 화곡동 368-3 1층 씨유마트 내 ,3.3,3.3,0,  02-2604-1888,커피숍
휴게음식점,2011-06-20,카페보굼,"서울특별시 강서구 등촌로 3, 1층 (화곡동, 4동 부경빌딩)",서울특별시 강서구 화곡동 782-5 부경빌딩 (지상 1층) ,42.9,42.9,0,02-1111-1111,커피숍
휴게음식점,2011-07-01,훼미리마트(등촌평안점),"서울특별시 강서구 강서로 460, 102~105호 (등촌동,평안빌딩 (지상 1층) 훼미리마트 내)",서울특별시 강서구 등촌동 682-0 평안빌딩 (지상 1층) 훼미리마트 내 102~105호,10,10,0,02-1111-1111,커피숍
휴게음식점,2011-07-13,커피올렌스,"서울특별시 강서구 방화대로34길 70, 지상1층 (방화동, 1동)",서울특별시 강서구 방화동 187-47 지상1층 ,41.98,41.98,0,  02-2666-7306,커피숍
휴게음식점,2011-08-19,데일리카페,"서울특별시 강서구 양천로71길 14, 가동 1층 (염창동)",서울특별시 강서구 염창동 248-8 (지상 1층) 가동 ,33,33,0,  02- 795-0261,커피숍
휴게음식점,2011-08-30,투썸플레이스우장산역,"서울특별시 강서구 강서로 259 (내발산동,우장산역엠버리움빌딩 (지상 1~2층) 101호 201~202호)",서울특별시 강서구 내발산동 723-2 우장산역엠버리움빌딩 (지상 1~2층) 101호 201~202호 ,261.4,261.4,0,02-1111-1111,커피숍
휴게음식점,2011-09-22,더카페강서NC9층점,"서울특별시 강서구 강서로56길 17, 엔씨백화점 9층 (등촌동)",서울특별시 강서구 등촌동 689 엔씨백화점 9층 ,33.72,33.72,0,  02-2667-9845,커피숍
휴게음식점,2011-10-04,이디야등촌3동점,"서울특별시 강서구 공항대로41길 34, 1층 101호 (등촌동, 3동 플러스존)",서울특별시 강서구 등촌동 700-0 플러스존 (지상 1층) 101호,39.96,39.96,0,  02-3662-4661,커피숍
휴게음식점,2011-10-14,요거프래소화곡푸르지오,"서울특별시 강서구 강서로45길 49-4, 상가동 1층 7호 (내발산동, 태승훼미리아파트)",서울특별시 강서구 내발산동 714-4 태승훼미리아파트 (지상 1층) 상가동 7호,0,0,0,  02-2604-3171,커피숍
휴게음식점,2011-11-29,롯데컬쳐웍스(주)롯데시네마 김포공항 엔제리너스,"서울특별시 강서구 하늘길 38, 1층 (방화동, 스카이파크)",서울특별시 강서구 방화동 886-0 외 6필지 김포공항스카이파크 (지상 1층) ,94.47,94.47,0,  02-6116-4703,커피숍
휴게음식점,2011-11-29,디바인그라인드,"서울특별시 강서구 하늘길 38, 지하 2층 (방화동, 2동 김포공항스카이파크)",서울특별시 강서구 방화동 886-0 외 6필지 김포공항스카이파크 (지하 2층) ,16.53,16.53,0,  02-6116-5727,커피숍
휴게음식점,2011-11-30,(주)영우 롯데백화점 김포공항점,"서울특별시 강서구 하늘길 38, 지하 3층 (방화동, 2동 김포공항 스카이파크)",서울특별시 강서구 방화동 886-0 외 6필지 김포공항 스카이파크 (지하 3층) ,14,14,0,  02-6116-2779,커피숍
휴게음식점,2011-12-05,엔제리너스 롯데몰 김포공항2호점,"서울특별시 강서구 하늘길 38, 지하 2층 (방화동, 2동 김포공항스카이파크)",서울특별시 강서구 방화동 886-0 외 6필지 김포공항스카이파크 (지하 2층) ,97.71,97.71,0,  02-6116-5715,커피숍
휴게음식점,2011-12-05,애프터커피 after coffee,"서울특별시 강서구 방화대로45길 70, 1층 (방화동, 1동)",서울특별시 강서구 방화동 452-2 (지상 1층) ,60.39,60.39,0,  02-2662-9525,커피숍
휴게음식점,2011-12-07,페이퍼 존,"서울특별시 강서구 하늘길 76, 3층 (과해동)",서울특별시 강서구 과해동 676-0 이마트 3층 ,98.15,98.15,0,02-1111-1111,커피숍
휴게음식점,2011-12-09,치프빈(Chief Bean),"서울특별시 강서구 화곡로 347, 1층 117호 (화곡동, 그랜드아이파크)",서울특별시 강서구 화곡동 1095-0 그랜드아이파크 (지상 1층) 117호,42.37,42.37,0,02-1111-1111,커피숍
휴게음식점,2012-01-13,이디야 커피(화곡사거리점),"서울특별시 강서구 곰달래로 135, 1층 (화곡동, 8동)",서울특별시 강서구 화곡동 342-53 (지상 1층) ,26.4,26.4,0,  02-2607-6323,커피숍
휴게음식점,2012-01-17,투썸플레이스 가양역점,"서울특별시 강서구 양천로 504, 1층 (등촌동, 청산빌딩)",서울특별시 강서구 등촌동 628-11 청산빌딩 (지상 1층) ,166.93,166.93,0,02-2668-7021,커피숍
휴게음식점,2012-02-13,지에스(gs)25 화곡영광점내,"서울특별시 강서구 곰달래로 88, 1층 (화곡동, 1동)",서울특별시 강서구 화곡동 920-1 ,3.3,3.3,0,  02-2606-0969,커피숍
휴게음식점,2012-02-13,방화동커피집,"서울특별시 강서구 방화대로 319, 1층 7호 (방화동, 길성그랑프리텔 상가 ,1동)",서울특별시 강서구 방화동 867 ,19.26,19.26,0,02-1111-1111,커피숍
휴게음식점,2012-02-17,지에스25방화동부점,"서울특별시 강서구 방화대로45길 52, 1층 (방화동, GS25편의점 내)",서울특별시 강서구 방화동 448-42 1층 GS25편의점 내 ,3.3,3.3,0,  02-2662-6904,커피숍
휴게음식점,2012-02-22,까페일루시온,"서울특별시 강서구 화곡로61길 31, 1층 (등촌동, 3동)",서울특별시 강서구 등촌동 660-9 (지상 1층) ,69,69,0,02-1111-1111,커피숍
휴게음식점,2012-03-08,데이빈,"서울특별시 강서구 하늘길 38, 6층 (방화동, 스카이파크 롯데몰)",서울특별시 강서구 방화동 886 ,28,28,0,02-1111-1111,커피숍
휴게음식점,2012-03-22,이디야 등촌역점,"서울특별시 강서구 등촌로 217, 1층 (등촌동, 2동)",서울특별시 강서구 등촌동 509-1 (지상 1층) ,36,36,0,02-1111-1111,커피숍
휴게음식점,2012-04-05,카페 넬 비코로(Cafe nel vicolo),"서울특별시 강서구 공항대로42길 16, 1층 (내발산동)",서울특별시 강서구 내발산동 650-16 (지상 1층) ,92.56,92.56,0, 070-7781-4389,커피숍
휴게음식점,2012-04-05,카페 르꼼뚜,"서울특별시 강서구 양천로 551-17, 1층 103호 (가양동, 3동 한화비즈메트로1차)",서울특별시 강서구 가양동 449-4 외 2필지 한화비즈메트로1차 (지상 1차) 103호,138.61,138.61,0,  02-6957-1155,커피숍
휴게음식점,2012-05-07,카페레아(CAFE RHEA),"서울특별시 강서구 방화대로48길 40, 104호 (방화동, 방화2-1단지 임대상가, 3동)","서울특별시 강서구 방화동 839 방화2-1단지 임대상가, 3동 104호",46.96,46.96,0,02-1111-1111,커피숍
휴게음식점,2012-06-12,서울강서지역자활센터-카페,"서울특별시 강서구 곰달래로 180, 1층 (화곡동, 2동 서울강서지역자활센터)",서울특별시 강서구 화곡동 874-9 서울강서지역자활센터 1층 ,16.2,16.2,0,  02-2605-1222,커피숍
휴게음식점,2012-06-20,카페두드림,"서울특별시 강서구 곰달래로 224, 1층 (화곡동, 2동)",서울특별시 강서구 화곡동 848-1 (지상 1층) ,33,33,0,  02-2649-8970,커피숍
휴게음식점,2012-06-26,레즐리 컵 LESELY CUP,"서울특별시 강서구 양천로73길 24, 상가동 1층 105호 (염창동, 염창힐스테이트)",서울특별시 강서구 염창동 306-0 염창힐스테이트 (지상 1층) 상가동 105호,34.2,34.2,0,02-1111-1111,커피숍
휴게음식점,2012-07-05,비스트롱커피,"서울특별시 강서구 양천로24길 85, 1층 (방화동, 1동)",서울특별시 강서구 방화동 251-5 (지상 1층) ,61.2,61.2,0,  02-2666-0293,커피숍
휴게음식점,2012-08-03,대한항공OC빌딩 스카이카페,"서울특별시 강서구 하늘길 260, 4층 (공항동, 항공기정비공장)",서울특별시 강서구 공항동 1370-0 외 14필지 항공기정비공장 (지상 4층) ,14.4,14.4,0,  02-2064-0207,커피숍
휴게음식점,2012-08-21,마스 모스,"서울특별시 강서구 강서로 499, 1층 103~104호 (가양동, 1동 대하빌딩)",서울특별시 강서구 가양동 187-13 대하빌딩 (지상 1층) 103~104호,120,120,0,  02-3663-4991,커피숍
휴게음식점,2012-08-30,융드립커피,"서울특별시 강서구 우장산로 4, 1층 (내발산동, 우장산동)",서울특별시 강서구 내발산동 669-6 (지상 1층) ,23,23,0,02-1111-1111,커피숍
휴게음식점,2012-09-03,스타벅스커피 까치산역점,"서울특별시 강서구 강서로13길 3, 지하1~지상1층 (화곡동, 8동 외 1필지 동진빌딩)",서울특별시 강서구 화곡동 343-1 외 1필지 동진빌딩 (지하 1층~지상 1층) ,323.49,323.49,0,  02- 758-8538,커피숍
휴게음식점,2012-10-24,커피왓수다,"서울특별시 강서구 화곡로31길 67, 1층 (화곡동, 5동)",서울특별시 강서구 화곡동 1030-11 지상1층 ,26.42,26.42,0,02-1111-1111,커피숍
휴게음식점,2012-11-02,카페말로(내발산점),"서울특별시 강서구 강서로 353, 1층 104호 (내발산동, 1동 학성빌딩)",서울특별시 강서구 내발산동 654-3 학성빌딩 (지상 1층) 104호,60,60,0,02-1111-1111,커피숍
휴게음식점,2012-11-13,카페 101,"서울특별시 강서구 공항대로3길 33, 1층 (공항동)",서울특별시 강서구 공항동 45-8 (지상 1층) ,85.32,85.32,0, 070-8888-1844,커피숍
휴게음식점,2012-11-20,버블베어,"서울특별시 강서구 금낭화로 167, 1층 103호 (방화동, 3동)",서울특별시 강서구 방화동 819-0 1층 103호,39.97,39.97,0,  02-2696-9984,커피숍
휴게음식점,2012-11-20,엔제리너스 김포공항1층점,"서울특별시 강서구 하늘길 112, 1층 (공항동, 국내선청사)",서울특별시 강서구 공항동 1373-0 국내선청사 (지상 1층) ,301,301,0,  02-2667-0108,커피숍
휴게음식점,2012-12-21,목 카페,"서울특별시 강서구 금낭화로24길 29-5, 1층 (방화동, 3동)",서울특별시 강서구 방화동 345-9 (지상 1층) ,90.72,90.72,0,02-1111-1111,커피숍
휴게음식점,2013-01-08,밀알카페,"서울특별시 강서구 강서로33길 16, 1층 (화곡동, 3동)",서울특별시 강서구 화곡동 1050-31 1층 ,5,5,0,02-1111-1111,커피숍
휴게음식점,2013-01-16,엔제리너스 김포공항역사점,"서울특별시 강서구 하늘길 지하 77, 김포공항역 지하2층 512-205호 (방화동)",서울특별시 강서구 방화동 886 김포공항역 지하2층 ,53.97,53.97,0,  02-2662-1005,커피숍
휴게음식점,2013-01-18,엔카페,"서울특별시 강서구 양천로 476, 2층 (등촌동, 3동 금부빌딩)",서울특별시 강서구 등촌동 73-1 금부빌딩 (지상 2층) ,96.73,96.73,0,  02-3663-6127,커피숍
휴게음식점,2013-01-22,브이커피,"서울특별시 강서구 화곡로64길 98, 1층 (등촌동, 1동)","서울특별시 강서구 등촌동 653-5 1층, 1동 ",33,33,0, 070-8290-7302,커피숍
휴게음식점,2013-02-26,커피드림,"서울특별시 강서구 공항대로53가길 6, 1층 (등촌동, 1동)",서울특별시 강서구 등촌동 643-73 (지상 1층) ,29.7,29.7,0,  02-2658-5030,커피숍
휴게음식점,2013-02-28,커피볶는 곤이네집,"서울특별시 강서구 곰달래로 116-1, 1층 101호 (화곡동, 2동 엠타워)",서울특별시 강서구 화곡동 899-29 엠타워 (지상 1층) 101호,126.18,126.18,0,  02-2601-1807,커피숍
휴게음식점,2013-03-13,이디야커피,"서울특별시 강서구 양천로 684, 1층 (염창동)",서울특별시 강서구 염창동 264-37 1층 ,49.5,49.5,0,02-1111-1111,커피숍
휴게음식점,2013-04-02,발음북카페,"서울특별시 강서구 강서로47다길 35, 1층 (내발산동, 1동)",서울특별시 강서구 내발산동 709-8 1층 ,78.13,78.13,0,  02-2666-1376,커피숍
휴게음식점,2013-04-11,이디야커피,"서울특별시 강서구 방화동로 37, 1층 101호 (방화동, 2동)",서울특별시 강서구 방화동 614-34 101호,50.54,50.54,0,  02-2666-1311,커피숍
휴게음식점,2013-05-07,쑤앤쑤,"서울특별시 강서구 우장산로 4, 3층 (내발산동, 우장산동)",서울특별시 강서구 내발산동 669-6 (지상3층) ,73.85,73.85,0,  02-2661-1261,커피숍
휴게음식점,2013-05-08,씨앤에프(C&F by Jung),"서울특별시 강서구 강서로 202, 1층 (화곡동, 우장산동)",서울특별시 강서구 화곡동 1031-0 1층 ,30,30,0,  02-2602-5519,커피숍
휴게음식점,2013-05-08,카페원데이,"서울특별시 강서구 강서로48길 6, 1층 (내발산동, 우장산동)",서울특별시 강서구 내발산동 702-1 1층 ,47.67,47.67,0,  02-2658-9670,커피숍
휴게음식점,2013-05-15,카페드아야,"서울특별시 강서구 강서로52길 13, 1층 (내발산동, 우장산동)",서울특별시 강서구 내발산동 646-2 1층 ,53.33,53.33,0,02-1111-1111,커피숍
휴게음식점,2013-05-16,카페 이브닝,"서울특별시 강서구 양천로75길 57, 1층 108호 (염창동)",서울특별시 강서구 염창동 288-0 현대1차 상가동 108호,15.29,15.29,0,  02-3664-2873,커피숍
휴게음식점,2013-05-30,커피스토리,"서울특별시 강서구 등촌로13길 24, 1층 (등촌동, 2동)",서울특별시 강서구 등촌동 572-17 (지상 1층) ,49,49,0,  02-2642-9087,커피숍
휴게음식점,2013-06-03,이디야커피가양역점,"서울특별시 강서구 양천로 500, 1층 111호 (등촌동, 1동 노블리움오피스텔)",서울특별시 강서구 등촌동 628-0 노블리움오피스텔 (지상 1층) 111호,53.82,53.82,0,  02-2658-0924,커피숍
휴게음식점,2013-06-19,더팬,"서울특별시 강서구 금낭화로17길 9, 1층 (방화동, 1동)",서울특별시 강서구 방화동 454-17 외 2필지 (지상 1층) ,69.82,69.82,0,02-1111-1111,커피숍
휴게음식점,2013-06-20,투썸플레이스 양천향교역점,"서울특별시 강서구 강서로 460, 1층 102~105호 (등촌동, 3동 평안빌딩)",서울특별시 강서구 등촌동 682-0 평안빌딩 (지상 1층) 102~105호 ,132.02,132.02,0,  02-2668-3666,커피숍
휴게음식점,2013-07-23,이디야 염창블루나인,"서울특별시 강서구 양천로 583, 1층 117호 (염창동, 우림블루나인비즈니스센터)",서울특별시 강서구 염창동 240-21 외 1필지 우림블루나인비즈니스센터 117호,70.97,70.97,0,  02-6121-3232,커피숍
휴게음식점,2013-08-07,모카라비아,"서울특별시 강서구 개화동로27가길 33, 1층 102호 (방화동, 2동)",서울특별시 강서구 방화동 619-7 1층 102호,34.4,34.4,0,02-1111-1111,커피숍
휴게음식점,2013-08-19,이디야커피(강서한강자이),"서울특별시 강서구 양천로 401, B동 1층 108호 (가양동, 1동 강서한강자이타워)",서울특별시 강서구 가양동 1498-0 강서한강자이타워 (지상 1층) B동 108호,68.08,68.08,0,02-1111-1111,커피숍
휴게음식점,2013-08-21,차콜로스터커피,"서울특별시 강서구 까치산로4길 66, 1층 (화곡동, 본동)",서울특별시 강서구 화곡동 102-46 (지상 1층) ,34.37,34.37,0,  02-2662-0526,커피숍
휴게음식점,2013-09-09,라루라루,"서울특별시 강서구 공항대로59길 42, 1층 (등촌동, 1동)",서울특별시 강서구 등촌동 647-0 1층 ,13.2,13.2,0, 070-4842-6865,커피숍
휴게음식점,2013-09-09,제나두PC 강서본점,"서울특별시 강서구 양천로 583, B동 지하 1층 106호 (염창동, 우림블루나인)",서울특별시 강서구 염창동 240-21 외 1필지 우림블루나인 (지하 1층) B동 106호,53,53,0,  02-2093-1241,커피숍
휴게음식점,2013-09-12,테리브라운,"서울특별시 강서구 공항대로8길 33, 1층 101호 (공항동)",서울특별시 강서구 공항동 41-80 (지상 1층) 101호,35,35,0,02-1111-1111,커피숍
휴게음식점,2013-09-16,카페 머무르다,"서울특별시 강서구 공항대로 663, 1층 (염창동, 골든서울호텔)",서울특별시 강서구 염창동 260-7 골든서울호텔 (지상 1층) ,24.18,24.18,0,  02-6675-2120,커피숍
휴게음식점,2013-10-14,티톡커피전문점,"서울특별시 강서구 월정로 142, 1층 (화곡동, 1동)",서울특별시 강서구 화곡동 360-9 1층 ,28,28,0,  02-2604-2122,커피숍
휴게음식점,2013-11-13,카페 머물다,"서울특별시 강서구 양천로 401, A동 4층 416호 (가양동, 1동 강서한강자이타워)",서울특별시 강서구 가양동 1498-0 강서한강자이타워 (지상 1층) A동 416호,55.2,55.2,0,  02-2638-5566,커피숍
휴게음식점,2013-11-19,아쿠아카페,"서울특별시 강서구 공항대로45길 44, 2층 207호 (등촌동, 1동 청림빌딩)",서울특별시 강서구 등촌동 641-11 청림빌딩 (지상 2층) 207호,6.5,6.5,0,02-1111-1111,커피숍
휴게음식점,2013-11-25,커피보니또 등촌점,"서울특별시 강서구 양천로60길 19, 1층 (등촌동, 1동)",서울특별시 강서구 등촌동 630-6 (지상 1층) ,33.15,33.15,0,  02-2063-3748,커피숍
휴게음식점,2013-12-10,스타벅스커피 염창역점,"서울특별시 강서구 공항대로 627, 1층 (염창동)",서울특별시 강서구 염창동 282-23 (지상 1층) ,221.3,221.3,0,  02-3661-9894,커피숍
휴게음식점,2013-12-10,까르페디엠배세일움,"서울특별시 강서구 공항대로 209, 1층 101호 (마곡동)",서울특별시 강서구 마곡동 774-1 101호,38.94,38.94,0,02-1111-1111,커피숍
휴게음식점,2013-12-18,이디야 송정역점,"서울특별시 강서구 공항대로 24, 2층 (공항동)",서울특별시 강서구 공항동 53-1 2층 ,142.32,142.32,0, 070-4218-5603,커피숍
휴게음식점,2013-12-26,카페테이크(Cafe TAKE),"서울특별시 강서구 양천로26길 35, 1층 (방화동, 1동)",서울특별시 강서구 방화동 180-22 (지상 1층) ,29.84,29.84,0,02-1111-1111,커피숍
휴게음식점,2014-01-27,푸른풀밭(Green Pastures),"서울특별시 강서구 방화대로21길 50, 1층 (공항동)",서울특별시 강서구 공항동 19-16 (지상 1층) ,81.5,81.5,0, 070-7817-0021,커피숍
휴게음식점,2014-02-04,스타벅스커피 발산역점,"서울특별시 강서구 강서로 388, 주차장동 1층 (등촌동, 3동 그랜드백화점)",서울특별시 강서구 등촌동 678-14 그랜드백화점 (지상 1층) 주차장동 ,203.87,203.87,0,  02-3015-1100,커피숍
